Name,Symbol,Holding,Code
GENTING PLANTATIONS BERHADGENTING PLANTATIONS BERHADGENTING PLANTATIONS BERHADGENTING PLANTATIONS BERHAD,GENP.KL,63,2291.KL
GUAN CHONG BHDGUAN CHONG BHDGUAN CHONG BHDGUAN CHONG BHD,GNCH.KL,64,5102.KL
HEINEKEN MALAYSIA BERHADHEINEKEN MALAYSIA BERHADHEINEKEN MALAYSIA BERHADHEINEKEN MALAYSIA BERHAD,HEIN.KL,65,3255.KL
IGB REAL ESTATE INV TRUSTIGB REAL ESTATE INV TRUSTIGB REAL ESTATE INV TRUSTIGB REAL ESTATE INV TRUST,IGRE.KL,66,5227.KL
IJM CORPORATION BHDIJM CORPORATION BHDIJM CORPORATION BHDIJM CORPORATION BHD,IJMS.KL,67,3336.KL
INARI AMERTRON BERHADINARI AMERTRON BERHADINARI AMERTRON BERHADINARI AMERTRON BERHAD,INAR.KL,68,166.KL
IOI PROPERTIES GROUP BERHADIOI PROPERTIES GROUP BERHADIOI PROPERTIES GROUP BERHADIOI PROPERTIES GROUP BERHAD,IOIP.KL,69,5249.KL
KLCC PROP&REITS-STAPLED SECKLCC PROP&REITS-STAPLED SECKLCC PROP&REITS-STAPLED SECKLCC PROP&REITS-STAPLED SEC,KLCC.KL,70,5235.KL
KOSSAN RUBBER INDUSTRIES BHDKOSSAN RUBBER INDUSTRIES BHDKOSSAN RUBBER INDUSTRIES BHD,KRIB.KL,71,7153.KL
KPJ HEALTHCARE BHDKPJ HEALTHCARE BHDKPJ HEALTHCARE BHD,KPJH.KL,72,5878.KL
LEONG HUP INTERNATIONAL BERHADLEONG HUP INTERNATIONAL BERHADLEONG HUP INTERNATIONAL BERHAD,LEOG.KL,73,6633.KL
LOTTE CHEMICAL TITAN HOLDING BERHADLOTTE CHEMICAL TITAN HOLDING BERHADLOTTE CHEMICAL TITAN HOLDING BERHAD,LOTT.KL,74,5284.KL
MAGNUM BERHADMAGNUM BERHADMAGNUM BERHAD,MAGM.KL,75,3859.KL
MALAKOFF CORPORATION BERHADMALAKOFF CORPORATION BERHADMALAKOFF CORPORATION BERHAD,MALA.KL,76,5264.KL
MALAYSIA AIRPORTS HOLDINGS BHDMALAYSIA AIRPORTS HOLDINGS BHDMALAYSIA AIRPORTS HOLDINGS BHD,MAHB.KL,77,5014.KL
MALAYSIA BUILDING SOCIETY BHDMALAYSIA BUILDING SOCIETY BHDMALAYSIA BUILDING SOCIETY BHD,MBSS.KL,78,1171.KL
MALAYSIAN PACIFIC INDUSTRIESMALAYSIAN PACIFIC INDUSTRIESMALAYSIAN PACIFIC INDUSTRIES,MPIM.KL,79,3867.KL
MALAYSIAN RESOURCES CORPORATION BERHADMALAYSIAN RESOURCES CORPORATION BERHADMALAYSIAN RESOURCES CORPORATION BERHAD,MYRS.KL,80,1651.KL
MATRIX CONCEPTS HOLDINGS BHDMATRIX CONCEPTS HOLDINGS BHDMATRIX CONCEPTS HOLDINGS BHD,MATR.KL,81,5236.KL
MEGA FIRST CORPORATION BHDMEGA FIRST CORPORATION BHDMEGA FIRST CORPORATION BHD,MEGA.KL,82,3069.KL
MI TECHNOVATION BERHADMI TECHNOVATION BERHADMI TECHNOVATION BERHAD,MITE.KL,83,5286.KL
MMC CORPORATION BHDMMC CORPORATION BHDMMC CORPORATION BHD,MMCB.KL,84,2194.KL
MR D.I.Y. GROUP (M) BERHADMR D.I.Y. GROUP (M) BERHADMR D.I.Y. GROUP (M) BERHAD,MRDI.KL,85,5296.KL
MY E.G. SERVICES BHDMY E.G. SERVICES BHDMY E.G. SERVICES BHD,MYEG.KL,86,138.KL
PADINI HOLDINGS BHDPADINI HOLDINGS BHD,PDNI.KL,87,7052.KL
PENTAMASTER CORPORATION BHDPENTAMASTER CORPORATION BHD,PMAS.KL,88,7160.KL
QL RESOURCES BHDQL RESOURCES BHD,QRES.KL,89,7084.KL
SAPURA ENERGY BERHADSAPURA ENERGY BERHAD,SAEN.KL,90,5218.KL
SCIENTEX BERHADSCIENTEX BERHAD,STIK.KL,91,4731.KL
SERBA DINAMIK HOLDINGS BERHADSERBA DINAMIK HOLDINGS BERHAD,SERB.KL,92,5279.KL
SIME DARBY PROPERTY BERHADSIME DARBY PROPERTY BERHAD,SIPR.KL,93,5288.KL
SKP RESOURCES BHDSKP RESOURCES BHD,SKPR.KL,94,7155.KL
SP SETIA BHDSP SETIA BHD,SETI.KL,95,8664.KL
SUNWAY BERHADSUNWAY BERHAD,SWAY.KL,96,5211.KL
SUNWAY REAL ESTATE INVT TRUSTSUNWAY REAL ESTATE INVT TRUST,SUNW.KL,97,5176.KL
SYARIKAT TAKAFUL MALAYSIA KELUARGA BERHADSYARIKAT TAKAFUL MALAYSIA KELUARGA BERHAD,TAKA.KL,98,6139.KL
TIME DOTCOM BHDTIME DOTCOM BHD,TCOM.KL,99,5031.KL
UEM SUNRISE BERHADUEM SUNRISE BERHAD,UMSB.KL,100,5148.KL
UNISEM (M) BHDUNISEM (M) BHD,UNSM.KL,101,5005.KL
UWC BERHADUWC BERHAD,UWCB.KL,102,5292.KL
V.S INDUSTRY BHD,VSID.KL,103,6963.KL
VITROX CORPORATION BHD,VTRX.KL,104,97.KL
WESTPORTS HOLDINGS BERHAD,WPHB.KL,105,5246.KL
YINSON HOLDINGS BHD,YINS.KL,106,7293.KL
YTL CORPORATION BHD,YLTS.KL,107,4677.KL
YTL HOSPITALITY REIT,YLTR.KL,108,5109.KL
YTL POWER INTERNATIONAL BHD,YTLP.KL,109,6742.KL
