Name,Symbol,Holding,Code
INDIVIOR PLC ORD USD0.10,INDV,0,INDV.L
TUI AG ORD REG SHS NPV (DI),TUI,0,TUI.L
WATCHES OF SWITZERLAND GROUP PLC ORD GBP0.0125,WOSG,0,WOSG.L
HISCOX LD ORD 6.5P (DI),HSX,0,HSX.L
SSP GROUP PLC ORD 1 17/200P,SSPG,0,SSPG.L
CMC MARKETS PLC ORD 25P,CMCX,0,CMCX.L
DIPLOMA PLC ORD 5P,DPLM,0,DPLM.L
SAVILLS PLC ORD 2.5P,SVS,0,SVS.L
ROYAL MAIL PLC ORD 1P,RMG,0,RMG.L
888 HOLDINGS PLC ORD 0.5P,888,0,888.L
JTC PLC ORD GBP0.01,JTC,0,JTC.L
DERWENT LONDON PLC ORD 5P,DLN,0,DLN.L
GAMESYS GROUP PLC ORD GBP0.10,GYS,0,GYS.L
BIFFA PLC ORD GBP0.01,BIFF,0,BIFF.L
MICRO FOCUS INTERNATIONAL PLC ORD 10P,MCRO,0,MCRO.L
SPIRENT COMMUNICATIONS PLC ORD 3 1/3P,SPT,0,SPT.L
CINEWORLD GROUP PLC ORD 1P,CINE,0,CINE.L
GREENCORE GROUP PLC ORD 1P,GNC,0,GNC.L
PREMIER FOODS PLC ORD 10P,PFD,0,PFD.L
MARKS & SPENCER GROUP PLC ORD 25P,MKS,0,MKS.L
CALEDONIA INVESTMENTS PLC ORD 5P,CLDN,0,CLDN.L
PANTHEON INTERNATIONAL PLC ORD 67P,PIN,0,PIN.L
EUROMONEY INSTITUTIONAL INVEST.PLC ORD 0.25P,ERM,0,ERM.L
ASHMORE GROUP PLC ORD 0.01P,ASHM,0,ASHM.L
ITV PLC ORD 10P,ITV,0,ITV.L
GREGGS PLC ORD 2P,GRG,0,GRG.L
EASYJET PLC ORD 27 2/7P,EZJ,0,EZJ.L
PARAGON BANKING GROUP PLC ORD 100P,PAG,0,PAG.L
GCP STUDENT LIVING PLC ORD 1P,DIGS,0,DIGS.L
HIPGNOSIS SONGS FUND LD ORD NPV,SONG,0,SONG.L
WIZZ AIR HOLDINGS PLC. ORD GBP0.0001,WIZZ,0,WIZZ.L
LIONTRUST ASSET MANAGEMENT PLC ORD 1P,LIO,0,LIO.L
KAZ MINERALS PLC ORD 20P,KAZ,0,KAZ.L
BIG YELLOW GROUP PLC ORD 10P,BYG,0,BYG.L
DUNELM GROUP PLC ORD 1P,DNLM,0,DNLM.L
VINACAPITAL VIETNAM OPP. FUND LD ORD $0.01,VOF,0,VOF.L
TRAVIS PERKINS PLC ORD 10P,TPK,0,TPK.L
IG GROUP HOLDINGS PLC ORD 0.005P,IGG,0,IGG.L
MEGGITT PLC ORD 5P,MGGT,0,MGGT.L
BB HEALTHCARE TRUST PLC RED ORD 1P,BBH,0,BBH.L
FRASERS GROUP PLC ORD 10P,FRAS,0,FRAS.L
FUTURE PLC ORD 15P,FUTR,0,FUTR.L
APAX GLOBAL ALPHA LIMITED ORD NPV,APAX,0,APAX.L
HILL & SMITH HLDGS PLC ORD 25P,HILS,0,HILS.L
SPECTRIS PLC ORD 5P,SXS,0,SXS.L
DIXONS CARPHONE PLC ORD 0.1P,DC.,0,DC..L
VIETNAM ENTERPRISE INVESTMENTS LIMI ORD USD0.01 (DI),VEIL,0,VEIL.L
GRAINGER PLC ORD 5P,GRI,0,GRI.L
GENUS PLC ORD 10P,GNS,0,GNS.L
ST.MODWEN PROPERTIES PLC ORD 10P,SMP,0,SMP.L
WORLDWIDE HEALTHCARE TRUST PLC ORD 25P,WWH,0,WWH.L
CONTOURGLOBAL PLC ORD 1P,GLO,0,GLO.L
3I INFRASTRUCTURE PLC ORD NPV,3IN,0,3IN.L
NATIONAL EXPRESS GROUP PLC ORD 5P,NEX,0,NEX.L
AVON RUBBER PLC ORD #1,AVON,0,AVON.L
SIGNATURE AVIATION PLC ORD 37 17/84P,SIG,0,SIG.L
BLACKROCK SMALLER COMPANIES TST PLC ORD 25P,BRSC,0,BRSC.L
G4S PLC ORD 25P,GFS,0,GFS.L
OXFORD BIOMEDICA PLC ORD 50P,OXB,0,OXB.L
DRAX GROUP PLC ORD 11 16/29P,DRX,0,DRX.L
TALKTALK TELECOM GROUP PLC ORD 0.1P,TALK,0,TALK.L
PLUS500 LTD ORD ILS0.01 (DI),PLUS,0,PLUS.L
UDG HEALTHCARE PLC ORD EUR0.05,UDG,0,UDG.L
