Name,Symbol,Holding,Code
B&M EUROPEAN VALUE RETAIL S.A. ORD 10P (DI),BME,1,BME.L
MONDI PLC ORD EUR 0.20,MNDI,1,MNDI.L
FRESNILLO PLC ORD USD0.50,FRES,1,FRES.L
SMURFIT KAPPA GROUP PLC ORD EUR0.001,SKG,1,SKG.L
RIO TINTO PLC ORD 10P,RIO,1,RIO.L
BHP GROUP PLC ORD $0.50,BHP,1,BHP.L
KINGFISHER PLC ORD 15 5/7P,KGF,1,KGF.L
ANTOFAGASTA PLC ORD 5P,ANTO,1,ANTO.L
SMITH (DS) PLC ORD 10P,SMDS,1,SMDS.L
JUST EAT TAKEAWAY.COM N.V. ORD EUR0.04 (CDI),JET,1,JET.L
ANGLO AMERICAN PLC ORD USD0.54945,AAL,1,AAL.L
